No,ID,Total Mark,Final Mark,Midterm Mark,Other Mark
1,22120018,10,9,7,9
2,22120019,10,10,10,9
3,22120020,10,8,9,10
4,22120021,10,9,10,9
5,22120022,9,9,9,9
6,22120023,10,10,10,10
7,22120024,9,9,9,9
8,22120026,10,9,10,10
9,22120027,10,10,8,10
10,22120028,10,8,10,9
11,22120029,9,9,9,9
12,22120030,9,9,10,10
13,22120031,9,9,9,8
14,22120032,7,8,8,8
15,22120033,10,10,10,10
16,22120034,8,9,9,9
17,22120035,10,8,10,10
18,22120036,9,9,9,10
19,22120037,10,10,9,9
20,22120040,10,10,8,9
21,22120041,10,10,9,10
22,22120042,9,9,9,9
23,22120043,10,10,9,9
24,22120046,9,9,10,10
